Symbol,Company Name,Sector,Industry,Country,Region,Zip Code
AA,Alcoa Corporation,Basic Materials,Aluminum,United States,PA,15212-5858
A,"Agilent Technologies, Inc.",Healthcare,Diagnostics & Research,United States,CA,95051
AAMC,Altisource Asset Management Corporation,Financial Services,Mortgage Finance,United States,VI,820
AAP,"Advance Auto Parts, Inc.",Consumer Cyclical,Specialty Retail,United States,NC,27609
AB,AllianceBernstein Holding L.P.,Financial Services,Asset Management,United States,TN,37203
ABBV,AbbVie Inc.,Healthcare,Drug Manufacturersâ€”General,United States,IL,60064-6400
AAT,"American Assets Trust, Inc.",Real Estate,REITâ€”Diversified,United States,CA,92121-1069
AAN,"The Aaron's Company, Inc.",Industrials,Rental & Leasing Services,United States,GA,30339-3182
AACT,Ares Acquisition Corporation II,Financial Services,Shell Companies,United States,NY,10167
ABCB,Ameris Bancorp,Financial Services,Banksâ€”Regional,United States,GA,30305
ABEV,Ambev S.A.,Consumer Defensive,Beveragesâ€”Brewers,Brazil,SP,04530-001
ABM,ABM Industries Incorporated,Industrials,Specialty Business Services,United States,NY,10006
ABG,"Asbury Automotive Group, Inc.",Consumer Cyclical,Auto & Truck Dealerships,United States,GA,30097
AC,"Associated Capital Group, Inc.",Financial Services,Asset Management,United States,CT,6830
ABR,"Arbor Realty Trust, Inc.",Real Estate,REITâ€”Mortgage,United States,NY,11553
ACCO,ACCO Brands Corporation,Industrials,Business Equipment & Supplies,United States,IL,60047
ACA,"Arcosa, Inc.",Industrials,Engineering & Construction,United States,TX,75201
ACEL,"Accel Entertainment, Inc.",Consumer Cyclical,Gambling,United States,IL,60527
ACHR,Archer Aviation Inc.,Industrials,Aerospace & Defense,United States,CA,95134
ACI,"Albertsons Companies, Inc.",Consumer Defensive,Grocery Stores,United States,ID,83706
ACM,AECOM,Industrials,Engineering & Construction,United States,TX,75240
ABT,Abbott Laboratories,Healthcare,Medical Devices,United States,IL,60064-6400
ACR,ACRES Commercial Realty Corp.,Real Estate,REITâ€”Mortgage,United States,NY,11556
ACRE,Ares Commercial Real Estate Corporation,Real Estate,REITâ€”Mortgage,United States,NY,10167
ACV,Virtus Diversified Income & Convertible Fund,Financial Services,Asset Management,United States,NY,10019
ADM,Archer-Daniels-Midland Company,Consumer Defensive,Farm Products,United States,IL,60601
ACU,Acme United Corporation,Consumer Defensive,Household & Personal Products,United States,CT,6484
ADC,Agree Realty Corporation,Real Estate,REITâ€”Retail,United States,MI,48073
ADRT,Ault Disruptive Technologies Corporation,Financial Services,Shell Companies,United States,NV,89141
ADT,ADT Inc.,Industrials,Security & Protection Services,United States,FL,33431
ADX,"Adams Diversified Equity Fund, Inc.",Financial Services,Asset Management,United States,MD,21202
AE,"Adams Resources & Energy, Inc.",Energy,Oil & Gas Refining & Marketing,United States,TX,77027
AEE,Ameren Corporation,Utilities,Utilitiesâ€”Regulated Electric,United States,MO,63103
AEM,Agnico Eagle Mines Limited,Basic Materials,Gold,Canada,ON,M5C 2Y7
AEO,"American Eagle Outfitters, Inc.",Consumer Cyclical,Apparel Retail,United States,PA,15203-2329
AEON,"AEON Biopharma, Inc.",Healthcare,Biotechnology,United States,CA,92614
AES,The AES Corporation,Utilities,Utilitiesâ€”Diversified,United States,VA,22203
AEVA,"Aeva Technologies, Inc.",Technology,Softwareâ€”Infrastructure,United States,CA,94043
AFB,"AllianceBernstein National Municipal Income Fund, Inc.",Financial Services,Asset Management,United States,TN,37203
AFG,"American Financial Group, Inc.",Financial Services,Insuranceâ€”Property & Casualty,United States,OH,45202
AESI,Atlas Energy Solutions Inc.,Energy,Oil & Gas Equipment & Services,United States,TX,78730
AFL,Aflac Incorporated,Financial Services,Insuranceâ€”Life,United States,GA,31999
AG,First Majestic Silver Corp.,Basic Materials,Silver,Canada,BC,V6C 3L2
AGCO,AGCO Corporation,Industrials,Farm & Heavy Construction Machinery,United States,GA,30096
AGI,Alamos Gold Inc.,Basic Materials,Gold,Canada,ON,M5J 2T3
AGL,"agilon health, inc.",Healthcare,Medical Care Facilities,United States,TX,78723
AGM,Federal Agricultural Mortgage Corporation,Financial Services,Credit Services,United States,DC,20037
AGR,"Avangrid, Inc.",Utilities,Utilitiesâ€”Regulated Electric,United States,CT,6477
AGS,"PlayAGS, Inc.",Consumer Cyclical,Gambling,United States,NV,89118-3502
AHH,"Armada Hoffler Properties, Inc.",Real Estate,REITâ€”Diversified,United States,VA,23462-3039
AGX,"Argan, Inc.",Industrials,Engineering & Construction,United States,MD,20850
AHT,"Ashford Hospitality Trust, Inc.",Real Estate,REITâ€”Hotel & Motel,United States,TX,75254-4308
AI,"C3.ai, Inc.",Technology,Softwareâ€”Application,United States,CA,94063
AHR,"American Healthcare REIT, Inc.",Real Estate,REITâ€”Healthcare Facilities,United States,CA,92612-7106
AIM,AIM ImmunoTech Inc.,Healthcare,Biotechnology,United States,FL,34473
AIN,Albany International Corp.,Consumer Cyclical,Textile Manufacturing,United States,NH,3867
AIRI,Air Industries Group,Industrials,Aerospace & Defense,United States,NY,11706
AIG,"American International Group, Inc.",Financial Services,Insuranceâ€”Diversified,United States,NY,10020
AIR,AAR Corp.,Industrials,Aerospace & Defense,United States,IL,60191
AIV,Apartment Investment and Management Company,Real Estate,REITâ€”Residential,United States,CO,80237-2632
AIT,"Applied Industrial Technologies, Inc.",Industrials,Industrial Distribution,United States,OH,44115
AIZ,"Assurant, Inc.",Financial Services,Insuranceâ€”Property & Casualty,United States,GA,30339-2210
AJG,Arthur J. Gallagher & Co.,Financial Services,Insurance Brokers,United States,IL,60008-4050
AJX,Great Ajax Corp.,Real Estate,REITâ€”Mortgage,United States,OR,97223
AKA,a.k.a. Brands Holding Corp.,Consumer Cyclical,Apparel Retail,United States,CA,94104
AKR,Acadia Realty Trust,Real Estate,REITâ€”Retail,United States,NY,10580-1412
AL,Air Lease Corporation,Industrials,Rental & Leasing Services,United States,CA,90067
ALB,Albemarle Corporation,Basic Materials,Specialty Chemicals,United States,NC,28209
ALE,"ALLETE, Inc.",Utilities,Utilitiesâ€”Diversified,United States,MN,55802-2093
ALG,Alamo Group Inc.,Industrials,Farm & Heavy Construction Machinery,United States,TX,78155
ALIT,"Alight, Inc.",Technology,Softwareâ€”Application,United States,IL,60069
ALL,The Allstate Corporation,Financial Services,Insuranceâ€”Property & Casualty,United States,IL,60062
ALK,"Alaska Air Group, Inc.",Industrials,Airlines,United States,WA,98188
ALLY,Ally Financial Inc.,Financial Services,Credit Services,United States,MI,48226
ALSN,"Allison Transmission Holdings, Inc.",Consumer Cyclical,Auto Parts,United States,IN,46222
ALTG,Alta Equipment Group Inc.,Industrials,Rental & Leasing Services,United States,MI,48150
ALEX,"Alexander & Baldwin, Inc.",Real Estate,REITâ€”Retail,United States,HI,96801-3924
ALUR,Allurion Technologies Inc.,Healthcare,Medical Devices,United States,MA,1760
ALX,"Alexander's, Inc.",Real Estate,REITâ€”Retail,United States,NJ,07652-5108
AMBC,"Ambac Financial Group, Inc.",Financial Services,Insuranceâ€”Specialty,United States,NY,10007
AM,Antero Midstream Corporation,Energy,Oil & Gas Midstream,United States,CO,80202
AMBI,Ambipar Emergency Response,Industrials,Waste Management,Brazil,SP,01228-200
AMBO,Ambow Education Holding Ltd.,Consumer Defensive,Education & Training Services,United States,CA,95014
AMC,"AMC Entertainment Holdings, Inc.",Communication Services,Entertainment,United States,KS,66211
AME,"AMETEK, Inc.",Industrials,Specialty Industrial Machinery,United States,PA,19312-1177
AMH,American Homes 4 Rent,Real Estate,REITâ€”Residential,United States,NV,89119-4012
AMN,"AMN Healthcare Services, Inc.",Healthcare,Medical Care Facilities,United States,TX,75019
AMG,"Affiliated Managers Group, Inc.",Financial Services,Asset Management,United States,FL,33401
AMP,"Ameriprise Financial, Inc.",Financial Services,Asset Management,United States,MN,55474
AMPX,"Amprius Technologies, Inc.",Industrials,Electrical Equipment & Parts,United States,CA,94538
AMPS,"Altus Power, Inc.",Utilities,Utilitiesâ€”Renewable,United States,CT,6902
AMPY,Amplify Energy Corp.,Energy,Oil & Gas E&P,United States,TX,77002
AMS,American Shared Hospital Services,Healthcare,Medical Care Facilities,United States,CA,94111-2619
AMR,"Alpha Metallurgical Resources, Inc.",Basic Materials,Coking Coal,United States,TN,37620
AMRC,"Ameresco, Inc.",Industrials,Engineering & Construction,United States,MA,1701
AMT,American Tower Corporation,Real Estate,REITâ€”Specialty,United States,MA,02116-5749
AMTB,Amerant Bancorp Inc.,Financial Services,Banksâ€”Regional,United States,FL,33134
AMX,"AmÃ©rica MÃ³vil, S.A.B. de C.V.",Communication Services,Telecom Services,Mexico,DF,11529
AN,"AutoNation, Inc.",Consumer Cyclical,Auto & Truck Dealerships,United States,FL,33301
ANET,"Arista Networks, Inc.",Technology,Computer Hardware,United States,CA,95054
ANF,Abercrombie & Fitch Co.,Consumer Cyclical,Apparel Retail,United States,OH,43054
ANRO,"Alto Neuroscience, Inc.",Healthcare,Biotechnology,United States,CA,94022
ANVS,"Annovis Bio, Inc.",Healthcare,Biotechnology,United States,PA,19355
AMWL,American Well Corporation,Healthcare,Health Information Services,United States,MA,2109
AOMR,"Angel Oak Mortgage REIT, Inc.",Real Estate,REITâ€”Mortgage,United States,GA,30326
AOS,A. O. Smith Corporation,Industrials,Specialty Industrial Machinery,United States,WI,53224-9508
AORT,"Artivion, Inc.",Healthcare,Medical Devices,United States,GA,30144
APAM,Artisan Partners Asset Management Inc.,Financial Services,Asset Management,United States,WI,53202
APH,Amphenol Corporation,Technology,Electronic Components,United States,CT,6492
AP,Ampco-Pittsburgh Corporation,Industrials,Metal Fabrication,United States,PA,15106
APD,"Air Products and Chemicals, Inc.",Basic Materials,Specialty Chemicals,United States,PA,18106-5500
APLE,"Apple Hospitality REIT, Inc.",Real Estate,REITâ€”Hotel & Motel,United States,VA,23219-3306
APG,APi Group Corporation,Industrials,Engineering & Construction,United States,MN,55112
APO,"Apollo Global Management, Inc.",Financial Services,Asset Management,United States,NY,10019
APT,"Alpha Pro Tech, Ltd.",Industrials,Building Products & Equipment,Canada,ON,L4G 1H6
AQN,Algonquin Power & Utilities Corp.,Utilities,Utilitiesâ€”Renewable,Canada,ON,L6J 2X1
ARC,"ARC Document Solutions, Inc.",Industrials,Specialty Business Services,United States,CA,94583
AR,Antero Resources Corporation,Energy,Oil & Gas E&P,United States,CO,80202
ARCH,"Arch Resources, Inc.",Basic Materials,Coking Coal,United States,MO,63141
ARDC,"Ares Dynamic Credit Allocation Fund, Inc.",Financial Services,Asset Management,United States,CA,90067
ARE,"Alexandria Real Estate Equities, Inc.",Real Estate,REITâ€”Office,United States,CA,91101-6104
ARDT,"Ardent Health Partners, Inc.",Healthcare,Medical Care Facilities,United States,TN,37027
AREN,"The Arena Group Holdings, Inc.",Communication Services,Internet Content & Information,United States,NY,10281
ARES,Ares Management Corporation,Financial Services,Asset Management,United States,CA,90067
ARIS,"Aris Water Solutions, Inc.",Utilities,Utilitiesâ€”Regulated Water,United States,TX,77024
ARI,"Apollo Commercial Real Estate Finance, Inc.",Real Estate,REITâ€”Mortgage,United States,NY,10019
ARLO,"Arlo Technologies, Inc.",Industrials,Building Products & Equipment,United States,CA,92008
ARL,"American Realty Investors, Inc.",Real Estate,Real Estate Services,United States,TX,75234
ARW,"Arrow Electronics, Inc.",Technology,Electronics & Computer Distribution,United States,CO,80112
ASA,ASA Gold and Precious Metals Limited,Financial Services,Asset Management,United States,ME,4101
ASAI,Sendas Distribuidora S.A.,Consumer Defensive,Grocery Stores,Brazil,RJ,22775-005
ASAN,"Asana, Inc.",Technology,Softwareâ€”Application,United States,CA,94107
ARMK,Aramark,Industrials,Specialty Business Services,United States,PA,19103
ASB,Associated Banc-Corp,Financial Services,Banksâ€”Regional,United States,WI,54301
ARMP,"Armata Pharmaceuticals, Inc.",Healthcare,Biotechnology,United States,CA,90066
ARMN,Aris Mining Corporation,Basic Materials,Gold,Canada,BC,V6C 0A3
ARR,"ARMOUR Residential REIT, Inc.",Real Estate,REITâ€”Mortgage,United States,FL,32963
AROC,"Archrock, Inc.",Energy,Oil & Gas Equipment & Services,United States,TX,77024
ASG,"Liberty All-Star Growth Fund, Inc.",Financial Services,Asset Management,United States,CO,80203
ASH,Ashland Inc.,Basic Materials,Specialty Chemicals,United States,DE,19808
ASGN,ASGN Incorporated,Technology,Information Technology Services,United States,VA,23060
ASIX,AdvanSix Inc.,Basic Materials,Chemicals,United States,NJ,7054
ASM,Avino Silver & Gold Mines Ltd.,Basic Materials,Other Precious Metals & Mining,Canada,BC,V6C 3P1
ASPN,"Aspen Aerogels, Inc.",Industrials,Building Products & Equipment,United States,MA,1532
ASR,"Grupo Aeroportuario del Sureste, S. A. B. de C. V.",Industrials,Airports & Air Services,Mexico,DF,5120
ATCH,"AtlasClear Holdings, Inc.",Technology,Softwareâ€”Infrastructure,United States,FL,33629
ATEK,Athena Technology Acquisition Corp. II,Financial Services,Shell Companies,United States,NY,10018
ATEN,"A10 Networks, Inc.",Technology,Softwareâ€”Infrastructure,United States,CA,95131
ATGE,Adtalem Global Education Inc.,Consumer Defensive,Education & Training Services,United States,IL,60661
ATI,ATI Inc.,Industrials,Metal Fabrication,United States,TX,75201
ATKR,Atkore Inc.,Industrials,Electrical Equipment & Parts,United States,IL,60426
ATMU,Atmus Filtration Technologies Inc.,Industrials,Pollution & Treatment Controls,United States,TN,37214
ATNM,"Actinium Pharmaceuticals, Inc.",Healthcare,Biotechnology,United States,NY,10017
ATIP,"ATI Physical Therapy, Inc.",Healthcare,Medical Care Facilities,United States,IL,60440
ATS,ATS Corporation,Industrials,Specialty Industrial Machinery,Canada,ON,N3H 4R7
ATO,Atmos Energy Corporation,Utilities,Utilitiesâ€”Regulated Gas,United States,TX,75240
ATUS,"Altice USA, Inc.",Communication Services,Telecom Services,United States,NY,11101
AU,AngloGold Ashanti plc,Basic Materials,Gold,United States,CO,80111
ATR,"AptarGroup, Inc.",Healthcare,Medical Instruments & Supplies,United States,IL,60014
AUB,Atlantic Union Bankshares Corporation,Financial Services,Banksâ€”Regional,United States,VA,23060
AUST,Austin Gold Corp.,Basic Materials,Gold,Canada,BC,V6E 0C3
AVA,Avista Corporation,Utilities,Utilitiesâ€”Diversified,United States,WA,99202-2600
AUMN,Golden Minerals Company,Basic Materials,Other Precious Metals & Mining,United States,CO,80401
AVB,"AvalonBay Communities, Inc.",Real Estate,REITâ€”Residential,United States,VA,22203-2120
AVD,American Vanguard Corporation,Basic Materials,Agricultural Inputs,United States,CA,92660
AVK,Advent Convertible and Income Fund,Financial Services,Asset Management,United States,NY,10019
AVNS,"Avanos Medical, Inc.",Healthcare,Medical Devices,United States,GA,30004
AVNT,Avient Corporation,Basic Materials,Specialty Chemicals,United States,OH,44012
AVTR,"Avantor, Inc.",Healthcare,Medical Instruments & Supplies,United States,PA,19087
AVY,Avery Dennison Corporation,Consumer Cyclical,Packaging & Containers,United States,OH,44060
AWF,AllianceBernstein Global High Income Fund,Financial Services,Asset Management,United States,TN,37203
AWI,"Armstrong World Industries, Inc.",Industrials,Building Products & Equipment,United States,PA,17603
AWK,"American Water Works Company, Inc.",Utilities,Utilitiesâ€”Regulated Water,United States,NJ,08102-1658
AWR,American States Water Company,Utilities,Utilitiesâ€”Regulated Water,United States,CA,91773-1212
AWX,Avalon Holdings Corporation,Industrials,Waste Management,United States,OH,44484-5555
AX,"Axos Financial, Inc.",Financial Services,Banksâ€”Regional,United States,NV,89148
AXIL,"AXIL Brands, Inc.",Technology,Consumer Electronics,United States,CA,91803
AXL,"American Axle & Manufacturing Holdings, Inc.",Consumer Cyclical,Auto Parts,United States,MI,48211-1198
AXP,American Express Company,Financial Services,Credit Services,United States,NY,10285
AXR,AMREP Corporation,Real Estate,Real Estateâ€”Development,United States,PA,19083
AYI,"Acuity Brands, Inc.",Industrials,Electrical Equipment & Parts,United States,GA,30309-7673
AZO,"AutoZone, Inc.",Consumer Cyclical,Specialty Retail,United States,TN,38103
AXTA,Axalta Coating Systems Ltd.,Basic Materials,Specialty Chemicals,United States,PA,19342
AZTR,"Azitra, Inc.",Healthcare,Biotechnology,United States,CT,6405
AZEK,The AZEK Company Inc.,Industrials,Building Products & Equipment,United States,IL,60607
AZZ,AZZ Inc.,Industrials,Specialty Business Services,United States,TX,76107
B,Barnes Group Inc.,Industrials,Specialty Industrial Machinery,United States,CT,06010-6376
BA,The Boeing Company,Industrials,Aerospace & Defense,United States,VA,22202
BAC,Bank of America Corporation,Financial Services,Banksâ€”Diversified,United States,NC,28255
BAH,Booz Allen Hamilton Holding Corporation,Industrials,Consulting Services,United States,VA,22102
BAK,Braskem S.A.,Basic Materials,Chemicals,Brazil,SP,05501-050
BACA,Berenson Acquisition Corp. I,Financial Services,Shell Companies,United States,NY,10065
BALL,Ball Corporation,Consumer Cyclical,Packaging & Containers,United States,CO,80021
BAM,Brookfield Asset Management Ltd.,Financial Services,Asset Management,Canada,ON,M5J 2T3
BALY,Bally's Corporation,Consumer Cyclical,Resorts & Casinos,United States,RI,2903
BANC,"Banc of California, Inc.",Financial Services,Banksâ€”Regional,United States,CA,90049
BATL,Battalion Oil Corporation,Energy,Oil & Gas E&P,United States,TX,77024
BARK,"BARK, Inc.",Consumer Cyclical,Specialty Retail,United States,NY,10271
BB,BlackBerry Limited,Technology,Softwareâ€”Infrastructure,Canada,ON,N2K 0A7
BAX,Baxter International Inc.,Healthcare,Medical Instruments & Supplies,United States,IL,60015
BBAI,"BigBear.ai Holdings, Inc.",Technology,Information Technology Services,United States,MD,21046
BBD,Banco Bradesco S.A.,Financial Services,Banksâ€”Regional,Brazil,SP,06029-900
BBDC,"Barings BDC, Inc.",Financial Services,Asset Management,United States,NC,28202
BBDO,Banco Bradesco S.A.,Financial Services,Banksâ€”Regional,Brazil,SP,06029-900
BBN,BlackRock Taxable Municipal Bond Trust,Financial Services,Asset Management,United States,NY,10001
BBUC,Brookfield Business Corporation,Financial Services,Asset Management,United States,NY,10281-0221
BBY,"Best Buy Co., Inc.",Consumer Cyclical,Specialty Retail,United States,MN,55423
BBW,"Build-A-Bear Workshop, Inc.",Consumer Cyclical,Specialty Retail,United States,MO,63103
BBWI,"Bath & Body Works, Inc.",Consumer Cyclical,Specialty Retail,United States,OH,43230
BC,Brunswick Corporation,Consumer Cyclical,Recreational Vehicles,United States,IL,60045-3420
BCC,Boise Cascade Company,Basic Materials,Building Materials,United States,ID,83702-5389
BCE,BCE Inc.,Communication Services,Telecom Services,Canada,QC,H3E 3B3
BCO,The Brink's Company,Industrials,Security & Protection Services,United States,VA,23226-8100
BCSF,"Bain Capital Specialty Finance, Inc.",Financial Services,Asset Management,United States,MA,2116
BCV,Bancroft Fund Ltd.,Financial Services,Asset Management,United States,NY,10580-1422
BCX,Blackrock Resources & Commodities Strategy Trust,Financial Services,Asset Management,United States,NY,10001
BDC,Belden Inc.,Technology,Communication Equipment,United States,MO,63105
BDJ,BlackRock Enhanced Equity Dividend Trust,Financial Services,Asset Management,United States,NY,10001
BDN,Brandywine Realty Trust,Real Estate,REITâ€”Office,United States,PA,19104-5054
BDL,"Flanigan's Enterprises, Inc.",Consumer Cyclical,Restaurants,United States,FL,33334
BDX,"Becton, Dickinson and Company",Healthcare,Medical Instruments & Supplies,United States,NJ,07417-1880
BE,Bloom Energy Corporation,Industrials,Electrical Equipment & Parts,United States,CA,95134
BEEP,Mobile Infrastructure Corporation,Industrials,Infrastructure Operations,United States,OH,45202
BEP,Brookfield Renewable Partners L.P.,Utilities,Utilitiesâ€”Renewable,Canada,ON,M5J 2T3
BEN,"Franklin Resources, Inc.",Financial Services,Asset Management,United States,CA,94403
BEPC,Brookfield Renewable Corporation,Utilities,Utilitiesâ€”Renewable,United States,NY,10281-1023
BERY,"Berry Global Group, Inc.",Consumer Cyclical,Packaging & Containers,United States,IN,47710
BFAC,Battery Future Acquisition Corp.,Financial Services,Shell Companies,United States,DE,19901
BFAM,Bright Horizons Family Solutions Inc.,Consumer Cyclical,Personal Services,United States,MA,2459
BFH,"Bread Financial Holdings, Inc.",Financial Services,Credit Services,United States,OH,43219
BFLY,"Butterfly Network, Inc.",Healthcare,Medical Devices,United States,MA,1803
BFS,"Saul Centers, Inc.",Real Estate,REITâ€”Retail,United States,MD,20814-6522
BFK,BlackRock Municipal Income Trust,Financial Services,Asset Management,United States,NY,10001
BFZ,BlackRock California Municipal Income Trust,Financial Services,Asset Management,United States,NY,10001
BGB,Blackstone Strategic Credit 2027 Term Fund,Financial Services,Asset Management,United States,NY,10154
BG,Bunge Global SA,Consumer Defensive,Farm Products,United States,MO,63017
BGI,Birks Group Inc.,Consumer Cyclical,Luxury Goods,Canada,QC,H3A 2A5
BGH,Barings Global Short Duration High Yield Fund,Financial Services,Asset Management,United States,NC,28202
BGR,BlackRock Energy and Resources Trust,Financial Services,Asset Management,United States,NY,10001
BGS,"B&G Foods, Inc.",Consumer Defensive,Packaged Foods,United States,NJ,7054
BGSF,"BGSF, Inc.",Industrials,Staffing & Employment Services,United States,TX,75024
BGX,Blackstone / GSO Long-Short Credit Income Fund,Financial Services,Asset Management,United States,NY,10154
BGY,BlackRock Enhanced International Dividend Trust,Financial Services,Asset Management,United States,NY,10001
BGT,BlackRock Floating Rate Income Trust,Financial Services,Asset Management,United States,NY,10001
BH,Biglari Holdings Inc.,Consumer Cyclical,Restaurants,United States,TX,78259
BHC,Bausch Health Companies Inc.,Healthcare,Drug Manufacturersâ€”Specialty & Generic,Canada,QC,H7L 4A8
BHB,Bar Harbor Bankshares,Financial Services,Banksâ€”Regional,United States,ME,04609-0400
BHE,"Benchmark Electronics, Inc.",Technology,Electronic Components,United States,AZ,85281
BHK,BlackRock Core Bond Trust,Financial Services,Asset Management,United States,NY,10001
BHLB,"Berkshire Hills Bancorp, Inc.",Financial Services,Banksâ€”Regional,United States,MA,2109
BHP,BHP Group Limited,Basic Materials,Other Industrial Metals & Mining,Australia,VIC,3000
BHM,"Bluerock Homes Trust, Inc.",Real Estate,REITâ€”Residential,United States,NY,10105
BHR,Braemar Hotels & Resorts Inc.,Real Estate,REITâ€”Hotel & Motel,United States,TX,75254-4308
BHV,BlackRock Virginia Municipal Bond Trust,Financial Services,Asset Management,United States,NY,10001
BHVN,Biohaven Ltd.,Healthcare,Biotechnology,United States,CT,6510
BIGZ,BlackRock Innovation and Growth Term Trust,Financial Services,Asset Management,United States,NY,10001
BILL,"BILL Holdings, Inc.",Technology,Softwareâ€”Application,United States,CA,95002
BIO,"Bio-Rad Laboratories, Inc.",Healthcare,Medical Devices,United States,CA,94547
BIPC,Brookfield Infrastructure Corporation,Utilities,Utilitiesâ€”Regulated Gas,United States,NY,10281-0221
BIT,BlackRock Multi-Sector Income Trust,Financial Services,Asset Management,United States,NY,10001
BJ,"BJ's Wholesale Club Holdings, Inc.",Consumer Defensive,Discount Stores,United States,MA,1752
BK,The Bank of New York Mellon Corporation,Financial Services,Banksâ€”Diversified,United States,NY,10286
BKD,Brookdale Senior Living Inc.,Healthcare,Medical Care Facilities,United States,TN,37027
BKH,Black Hills Corporation,Utilities,Utilitiesâ€”Regulated Gas,United States,SD,57702
BKE,"The Buckle, Inc.",Consumer Cyclical,Apparel Retail,United States,NE,68845-4915
BKKT,"Bakkt Holdings, Inc.",Technology,Softwareâ€”Infrastructure,United States,GA,30009
BKN,BlackRock Investment Quality Municipal Trust Inc.,Financial Services,Asset Management,United States,NY,10001
BKT,"BlackRock Income Trust, Inc.",Financial Services,Asset Management,United States,NY,10001
BKTI,BK Technologies Corporation,Technology,Communication Equipment,United States,FL,32904
BKSY,BlackSky Technology Inc.,Technology,Scientific & Technical Instruments,United States,VA,20171
BKU,"BankUnited, Inc.",Financial Services,Banksâ€”Regional,United States,FL,33016
BLCO,Bausch + Lomb Corporation,Healthcare,Medical Instruments & Supplies,Canada,ON,L4K 4B4
BLDR,"Builders FirstSource, Inc.",Industrials,Building Products & Equipment,United States,TX,75039
BLD,TopBuild Corp.,Industrials,Engineering & Construction,United States,FL,32114
BLE,BlackRock Municipal Income Trust II,Financial Services,Asset Management,United States,NY,10001
BLK,"BlackRock, Inc.",Financial Services,Asset Management,United States,NY,10001
BLND,"Blend Labs, Inc.",Technology,Softwareâ€”Application,United States,CA,94108
BLW,BlackRock Limited Duration Income Trust,Financial Services,Asset Management,United States,NY,10001
BME,BlackRock Health Sciences Trust,Financial Services,Asset Management,United States,NY,10001
BMI,"Badger Meter, Inc.",Technology,Scientific & Technical Instruments,United States,WI,53224-9536
BMO,Bank of Montreal,Financial Services,Banksâ€”Diversified,Canada,QC,H2Y 1L6
BMN,Blackrock 2037 Municipal Target Term Trust,Financial Services,Asset Management,United States,NY,10001
BMTX,"BM Technologies, Inc.",Technology,Softwareâ€”Application,United States,PA,19087
BMY,Bristol-Myers Squibb Company,Healthcare,Drug Manufacturersâ€”General,United States,NJ,8543
BN,Brookfield Corporation,Financial Services,Asset Management,Canada,ON,M5J 2T3
BNED,"Barnes & Noble Education, Inc.",Consumer Cyclical,Specialty Retail,United States,NJ,7920
BNL,"Broadstone Net Lease, Inc.",Real Estate,REITâ€”Diversified,United States,NY,14564
BNS,The Bank of Nova Scotia,Financial Services,Banksâ€”Diversified,Canada,ON,M5H 0B4
BNY,BlackRock New York Municipal Income Trust,Financial Services,Asset Management,United States,NY,10001
BOC,Boston Omaha Corporation,Industrials,Conglomerates,United States,NE,68102
BODI,"The Beachbody Company, Inc.",Communication Services,Internet Content & Information,United States,CA,90245
BOE,BlackRock Enhanced Global Dividend Trust,Financial Services,Asset Management,United States,NY,10001
BOH,Bank of Hawaii Corporation,Financial Services,Banksâ€”Regional,United States,HI,96813
BOOT,"Boot Barn Holdings, Inc.",Consumer Cyclical,Apparel Retail,United States,CA,92618
BOW,Bowhead Specialty Holdings Inc.,Financial Services,Insuranceâ€”Property & Casualty,United States,NY,10018
BOWL,Bowlero Corp.,Consumer Cyclical,Leisure,United States,VA,23111
BOX,"Box, Inc.",Technology,Softwareâ€”Infrastructure,United States,CA,94063
BR,"Broadridge Financial Solutions, Inc.",Technology,Information Technology Services,United States,NY,11042
BRBR,"BellRing Brands, Inc.",Consumer Defensive,Packaged Foods,United States,MO,63144
BPT,BP Prudhoe Bay Royalty Trust,Energy,Oil & Gas Midstream,United States,TX,77002
BRBS,"Blue Ridge Bankshares, Inc.",Financial Services,Banksâ€”Regional,United States,VA,22901
BRC,Brady Corporation,Industrials,Security & Protection Services,United States,WI,53223
BRCC,BRC Inc.,Consumer Defensive,Packaged Foods,United States,UT,84101
BRDG,Bridge Investment Group Holdings Inc.,Financial Services,Asset Management,United States,UT,84070
BRFS,BRF S.A.,Consumer Defensive,Packaged Foods,Brazil,SP,04730-090
BRN,"Barnwell Industries, Inc.",Energy,Oil & Gas E&P,United States,HI,96813-2840
BROS,Dutch Bros Inc.,Consumer Cyclical,Restaurants,United States,OR,97526
BRSP,"BrightSpire Capital, Inc.",Real Estate,REITâ€”Mortgage,United States,NY,10022
BRO,"Brown & Brown, Inc.",Financial Services,Insurance Brokers,United States,FL,32114
BRW,Saba Capital Income & Opportunities Fund,Financial Services,Asset Management,United States,NY,10174
BRX,Brixmor Property Group Inc.,Real Estate,REITâ€”Retail,United States,NY,10017-3956
BRT,BRT Apartments Corp.,Real Estate,REITâ€”Residential,United States,NY,11021-3190
BSBR,Banco Santander (Brasil) S.A.,Financial Services,Banksâ€”Regional,Brazil,SP,04543-011
BSIG,BrightSphere Investment Group Inc.,Financial Services,Asset Management,United States,MA,2116
BSL,Blackstone Senior Floating Rate 2027 Term Fund,Financial Services,Asset Management,United States,NY,10154
BSM,"Black Stone Minerals, L.P.",Energy,Oil & Gas E&P,United States,TX,77002
BST,BlackRock Science and Technology Trust,Financial Services,Asset Management,United States,NY,10001
